SAHAM,MARKET PRICE,,,
SINI,9250,,IDX:,IDX:SINI
WOWS,59,,IDX:,IDX:WOWS
ESIP,132,,IDX:,IDX:ESIP
TEBE,970,,IDX:,IDX:TEBE
KEJU,540,,IDX:,IDX:KEJU
PSGO,195,,IDX:,IDX:PSGO
AGAR,210,,IDX:,IDX:AGAR
IFSH,1155,,IDX:,IDX:IFSH
REAL,12.16,,IDX:,IDX:REAL
IFII,212,,IDX:,IDX:IFII
PMJS,105,,IDX:,IDX:PMJS
UCID,370,,IDX:,IDX:UCID
GLVA,282,,IDX:,IDX:GLVA
PGJO,690,,IDX:,IDX:PGJO
AMAR,197,,IDX:,IDX:AMAR
CSRA,765,,IDX:,IDX:CSRA
INDO,2.73,,IDX:,IDX:INDO
AMOR,326,,IDX:,IDX:AMOR
TRIN,17.04,,IDX:,IDX:TRIN
DMND,615,,IDX:,IDX:DMND
PURA,0,,IDX:,IDX:PURA
PTPW,1310,,IDX:,IDX:PTPW
TAMA,148,,IDX:,IDX:TAMA
IKAN,71,,IDX:,IDX:IKAN
SAMF,272,,IDX:,IDX:SAMF
SBAT,1,,IDX:,IDX:SBAT
KBAG,37,,IDX:,IDX:KBAG
CBMF,50,,IDX:,IDX:CBMF
RONY,1035,,IDX:,IDX:RONY
CSMI,61,,IDX:,IDX:CSMI
BBSS,92,,IDX:,IDX:BBSS
BHAT,1940,,IDX:,IDX:BHAT
CASH,87.16,,IDX:,IDX:CASH
TECH,71,,IDX:,IDX:TECH
EPAC,36.78,,IDX:,IDX:EPAC
UANG,2040,,IDX:,IDX:UANG
PGUN,7075,,IDX:,IDX:PGUN
SOFA,15,,IDX:,IDX:SOFA
PPGL,167,,IDX:,IDX:PPGL
TOYS,8,,IDX:,IDX:TOYS
SGER,0,,IDX:,IDX:SGER
TRJA,105,,IDX:,IDX:TRJA
PNGO,3430,,IDX:,IDX:PNGO
SCNP,145,,IDX:,IDX:SCNP
BBSI,36.06,,IDX:,IDX:BBSI
KMDS,535,,IDX:,IDX:KMDS
PURI,132,,IDX:,IDX:PURI
SOHO,77.08,,IDX:,IDX:SOHO
HOMI,19.3,,IDX:,IDX:HOMI
ROCK,44.2,,IDX:,IDX:ROCK
ENZO,59,,IDX:,IDX:ENZO
PLAN,0.34,,IDX:,IDX:PLAN
PTDU,70,,IDX:,IDX:PTDU
ATAP,412,,IDX:,IDX:ATAP
VICI,27.21,,IDX:,IDX:VICI
PMMP,50,,IDX:,IDX:PMMP
BANK,1648.61,,IDX:,IDX:BANK
WMUU,50,,IDX:,IDX:WMUU
EDGE,50.11,,IDX:,IDX:EDGE
UNIQ,#N/A,,IDX:,IDX:UNIQ
BEBS,5,,IDX:,IDX:BEBS
SNLK,224,,IDX:,IDX:SNLK
ZYRX,129,,IDX:,IDX:ZYRX
LFLO,615,,IDX:,IDX:LFLO
FIMP,69,,IDX:,IDX:FIMP
TAPG,1480,,IDX:,IDX:TAPG
NPGF,57,,IDX:,IDX:NPGF
LUCY,0.78,,IDX:,IDX:LUCY
ADCP,50,,IDX:,IDX:ADCP
HOPE,13.59,,IDX:,IDX:HOPE
MGLV,8000,,IDX:,IDX:MGLV
true,#N/A,,IDX:,IDX:TRUE
LABA,89,,IDX:,IDX:LABA
ARCI,9.98,,IDX:,IDX:ARCI
IPAC,81.66,,IDX:,IDX:IPAC
MASB,3370,,IDX:,IDX:MASB
BMHS,180,,IDX:,IDX:BMHS
FLMC,63,,IDX:,IDX:FLMC
NICL,960,,IDX:,IDX:NICL
UVCR,135,,IDX:,IDX:UVCR
BUKA,100,,IDX:,IDX:BUKA
HAIS,170,,IDX:,IDX:HAIS
OILS,0.05,,IDX:,IDX:OILS
GPSO,348,,IDX:,IDX:GPSO
MCOL,3800,,IDX:,IDX:MCOL
RSGK,950,,IDX:,IDX:RSGK
RUNS,69,,IDX:,IDX:RUNS
SBMA,105,,IDX:,IDX:SBMA
CMNT,0,,IDX:,IDX:CMNT
GTSI,126,,IDX:,IDX:GTSI
IDEA,0.03,,IDX:,IDX:IDEA
KUAS,86,,IDX:,IDX:KUAS
BOBA,244,,IDX:,IDX:BOBA
MTEL,478,,IDX:,IDX:MTEL
DEPO,232,,IDX:,IDX:DEPO
BINO,91,,IDX:,IDX:BINO
CMRY,4330,,IDX:,IDX:CMRY
WGSH,115,,IDX:,IDX:WGSH
TAYS,50,,IDX:,IDX:TAYS
WMPP,16,,IDX:,IDX:WMPP
RMKE,2160,,IDX:,IDX:RMKE
OBMD,163,,IDX:,IDX:OBMD
AVIA,304,,IDX:,IDX:AVIA
IPPE,14,,IDX:,IDX:IPPE
NASI,105,,IDX:,IDX:NASI
BSML,490,,IDX:,IDX:BSML
DRMA,1.29,,IDX:,IDX:DRMA
ADMR,1370,,IDX:,IDX:ADMR
SEMA,4893,,IDX:,IDX:SEMA
ASLC,59,,IDX:,IDX:ASLC
NETV,50,,IDX:,IDX:NETV
BAUT,25,,IDX:,IDX:BAUT
ENAK,278,,IDX:,IDX:ENAK
NTBK,52,,IDX:,IDX:NTBK
SMKM,60,,IDX:,IDX:SMKM
STAA,29.29,,IDX:,IDX:STAA
NANO,2.85,,IDX:,IDX:NANO
BIKE,2.52,,IDX:,IDX:BIKE
WIRG,29.53,,IDX:,IDX:WIRG
SICO,7.82,,IDX:,IDX:SICO
GOTO,50,,IDX:,IDX:GOTO
TLDN,0,,IDX:,IDX:TLDN
MTMH,920,,IDX:,IDX:MTMH
WINR,0,,IDX:,IDX:WINR
IBOS,75,,IDX:,IDX:IBOS
OLIV,51,,IDX:,IDX:OLIV
ASHA,51,,IDX:,IDX:ASHA
SWID,89,,IDX:,IDX:SWID
TRGU,168,,IDX:,IDX:TRGU
ARKO,7.71,,IDX:,IDX:ARKO
CHEM,59,,IDX:,IDX:CHEM
DEWI,117,,IDX:,IDX:DEWI
AXIO,105,,IDX:,IDX:AXIO
KRYA,53,,IDX:,IDX:KRYA
HATM,368,,IDX:,IDX:HATM
RCCC,80,,IDX:,IDX:RCCC
GULA,640,,IDX:,IDX:GULA
JARR,1945,,IDX:,IDX:JARR
AMMS,318,,IDX:,IDX:AMMS
RAFI,4.31,,IDX:,IDX:RAFI
KKES,42,,IDX:,IDX:KKES
ELPI,1125,,IDX:,IDX:ELPI
EURO,26.43,,IDX:,IDX:EURO
KLIN,97,,IDX:,IDX:KLIN
TOOL,60,,IDX:,IDX:TOOL
BUAH,510,,IDX:,IDX:BUAH
CRAB,208,,IDX:,IDX:CRAB
MEDS,67,,IDX:,IDX:MEDS
COAL,23.05,,IDX:,IDX:COAL
PRAY,34.94,,IDX:,IDX:PRAY
CBUT,675,,IDX:,IDX:CBUT
BELI,268,,IDX:,IDX:BELI
MKTR,119,,IDX:,IDX:MKTR
OMED,204,,IDX:,IDX:OMED
BSBK,9.14,,IDX:,IDX:BSBK
PDPP,268,,IDX:,IDX:PDPP
KDTN,535,,IDX:,IDX:KDTN
ZATA,50,,IDX:,IDX:ZATA
NINE,12.86,,IDX:,IDX:NINE
MMIX,630,,IDX:,IDX:MMIX
PADA,97,,IDX:,IDX:PADA
ISAP,22,,IDX:,IDX:ISAP
VTNY,56,,IDX:,IDX:VTNY
SOUL,10.35,,IDX:,IDX:SOUL
ELIT,169,,IDX:,IDX:ELIT
BEER,2.61,,IDX:,IDX:BEER
CBPE,276,,IDX:,IDX:CBPE
SUNI,625,,IDX:,IDX:SUNI
CBRE,137.4,,IDX:,IDX:CBRE
WINE,71.18,,IDX:,IDX:WINE
BMBL,3.04,,IDX:,IDX:BMBL
PEVE,322,,IDX:,IDX:PEVE
LAJU,63,,IDX:,IDX:LAJU
FWCT,74,,IDX:,IDX:FWCT
NAYZ,60,,IDX:,IDX:NAYZ
IRSX,246,,IDX:,IDX:IRSX
PACK,7.31,,IDX:,IDX:PACK
VAST,0.12,,IDX:,IDX:VAST
CHIP,12.25,,IDX:,IDX:CHIP
HALO,74.96,,IDX:,IDX:HALO
KING,0.47,,IDX:,IDX:KING
PGEO,845,,IDX:,IDX:PGEO
FUTR,0.24,,IDX:,IDX:FUTR
HILL,16,,IDX:,IDX:HILL
BDKR,138,,IDX:,IDX:BDKR
PTMP,54,,IDX:,IDX:PTMP
SAGE,0.14,,IDX:,IDX:SAGE
TRON,1.57,,IDX:,IDX:TRON
CUAN,0.07,,IDX:,IDX:CUAN
NSSS,570,,IDX:,IDX:NSSS
GTRA,186,,IDX:,IDX:GTRA
HAJJ,102,,IDX:,IDX:HAJJ
JATI,92,,IDX:,IDX:JATI
TYRE,108,,IDX:,IDX:TYRE
MPXL,143,,IDX:,IDX:MPXL
SMIL,278,,IDX:,IDX:SMIL
KLAS,64,,IDX:,IDX:KLAS
MAXI,8.46,,IDX:,IDX:MAXI
VKTR,530,,IDX:,IDX:VKTR
RELF,33,,IDX:,IDX:RELF
AMMN,3270,,IDX:,IDX:AMMN
CRSN,97,,IDX:,IDX:CRSN
GRPM,129.47,,IDX:,IDX:GRPM
WIDI,24,,IDX:,IDX:WIDI
TGUK,137,,IDX:,IDX:TGUK
INET,#N/A,,IDX:,IDX:INET
MAHA,132,,IDX:,IDX:MAHA
RMKO,272,,IDX:,IDX:RMKO
CNMA,84,,IDX:,IDX:CNMA
FOLK,176,,IDX:,IDX:FOLK
HBAT,332,,IDX:,IDX:HBAT
GRIA,111,,IDX:,IDX:GRIA
PPRI,136,,IDX:,IDX:PPRI
ERAL,268,,IDX:,IDX:ERAL
CYBR,9.96,,IDX:,IDX:CYBR
MUTU,114,,IDX:,IDX:MUTU
LMAX,13.97,,IDX:,IDX:LMAX
HUMI,113,,IDX:,IDX:HUMI
MSIE,79,,IDX:,IDX:MSIE
RSCH,310,,IDX:,IDX:RSCH
BABY,0.02,,IDX:,IDX:BABY
AEGS,38,,IDX:,IDX:AEGS
IOTF,53,,IDX:,IDX:IOTF
KOCI,97,,IDX:,IDX:KOCI
PTPS,119,,IDX:,IDX:PTPS
BREN,176.34,,IDX:,IDX:BREN
STRK,53.79,,IDX:,IDX:STRK
KOKA,88,,IDX:,IDX:KOKA
LOPI,50,,IDX:,IDX:LOPI
UDNG,1280,,IDX:,IDX:UDNG
RGAS,212,,IDX:,IDX:RGAS
MSTI,20.27,,IDX:,IDX:MSTI
IKPM,179,,IDX:,IDX:IKPM
AYAM,338,,IDX:,IDX:AYAM
SURI,17.35,,IDX:,IDX:SURI
ASLI,19,,IDX:,IDX:ASLI
GRPH,58,,IDX:,IDX:GRPH
SMGA,64,,IDX:,IDX:SMGA
UNTD,74,,IDX:,IDX:UNTD
TOSK,59,,IDX:,IDX:TOSK
MPIX,98,,IDX:,IDX:MPIX
ALII,750,,IDX:,IDX:ALII
MKAP,1215,,IDX:,IDX:MKAP
MEJA,88,,IDX:,IDX:MEJA
LIVE,10.69,,IDX:,IDX:LIVE
HYGN,0,,IDX:,IDX:HYGN
BAIK,605,,IDX:,IDX:BAIK
VISI,885,,IDX:,IDX:VISI
AREA,222,,IDX:,IDX:AREA
MHKI,118,,IDX:,IDX:MHKI
ATLA,0.17,,IDX:,IDX:ATLA
DATA,79.6,,IDX:,IDX:DATA
SOLA,5.47,,IDX:,IDX:SOLA
BATR,83,,IDX:,IDX:BATR
SPRE,21.52,,IDX:,IDX:SPRE
PART,101,,IDX:,IDX:PART
GOLF,118.08,,IDX:,IDX:GOLF
ISEA,62,,IDX:,IDX:ISEA
BLES,47.2,,IDX:,IDX:BLES
GUNA,154,,IDX:,IDX:GUNA
LABS,0.07,,IDX:,IDX:LABS
DOSS,134,,IDX:,IDX:DOSS
NEST,565,,IDX:,IDX:NEST
PTMR,374,,IDX:,IDX:PTMR
VERN,1557.27,,IDX:,IDX:VERN
DAAZ,1590,,IDX:,IDX:DAAZ
BOAT,39.61,,IDX:,IDX:BOAT
NAIK,81,,IDX:,IDX:NAIK
AADI,7950,,IDX:,IDX:AADI
MDIY,870,,IDX:,IDX:MDIY
KSIX,354,,IDX:,IDX:KSIX
RATU,4540,,IDX:,IDX:RATU
YOII,89,,IDX:,IDX:YOII
HGII,122,,IDX:,IDX:HGII
BRRC,56,,IDX:,IDX:BRRC
DGWG,286,,IDX:,IDX:DGWG
CBDK,3350,,IDX:,IDX:CBDK
OBAT,234,,IDX:,IDX:OBAT
MINE,2.31,,IDX:,IDX:MINE
ASPR,0,,IDX:,IDX:ASPR
PSAT,795,,IDX:,IDX:PSAT
COIN,149.06,,IDX:,IDX:COIN
CDIA,590,,IDX:,IDX:CDIA
BLOG,336,,IDX:,IDX:BLOG
MERI,103,,IDX:,IDX:MERI
KAQI,83,,IDX:,IDX:KAQI
YUPI,1280,,IDX:,IDX:YUPI
FORE,765,,IDX:,IDX:FORE
MDLA,202,,IDX:,IDX:MDLA
DKHH,60,,IDX:,IDX:DKHH
AYLS,140,,IDX:,IDX:AYLS
DADA,50,,IDX:,IDX:DADA
ASPI,6.17,,IDX:,IDX:ASPI
ESTA,88.38,,IDX:,IDX:ESTA
BESS,3.88,,IDX:,IDX:BESS
AMAN,10.08,,IDX:,IDX:AMAN
CARE,33.6,,IDX:,IDX:CARE
PIPA,99,,IDX:,IDX:PIPA
NCKL,810,,IDX:,IDX:NCKL
MENN,53,,IDX:,IDX:MENN
AWAN,154,,IDX:,IDX:AWAN
MBMA,494,,IDX:,IDX:MBMA
RAAM,218,,IDX:,IDX:RAAM
DOOH,111,,IDX:,IDX:DOOH
CGAS,145,,IDX:,IDX:CGAS
NICE,91.99,,IDX:,IDX:NICE
MSJA,390,,IDX:,IDX:MSJA
SMLE,98,,IDX:,IDX:SMLE
ACRO,62,,IDX:,IDX:ACRO
MANG,41,,IDX:,IDX:MANG
WIFI,0.03,,IDX:,IDX:WIFI
FAPA,7350,,IDX:,IDX:FAPA
DCII,180500,,IDX:,IDX:DCII
KETR,520,,IDX:,IDX:KETR
DGNS,234,,IDX:,IDX:DGNS
UFOE,137,,IDX:,IDX:UFOE
CHEK,122,,IDX:,IDX:CHEK
PMUI,89,,IDX:,IDX:PMUI
EMAS,98.12,,IDX:,IDX:EMAS
PJHB,161,,IDX:,IDX:PJHB
RLCO,3250,,IDX:,IDX:RLCO
SUPA,540,,IDX:,IDX:SUPA
WBSA,685,,IDX:,IDX:WBSA
ADMF,8050,,IDX:,IDX:ADMF
ADMG,0.12,,IDX:,IDX:ADMG
ADRO,2270,,IDX:,IDX:ADRO
AGII,2620,,IDX:,IDX:AGII
AGRO,9.41,,IDX:,IDX:AGRO
AGRS,0,,IDX:,IDX:AGRS
AHAP,83,,IDX:,IDX:AHAP
AIMS,28.98,,IDX:,IDX:AIMS
PNSE,500,,IDX:,IDX:PNSE
POLY,0.79,,IDX:,IDX:POLY
POOL,211.61,,IDX:,IDX:POOL
PPRO,16,,IDX:,IDX:PPRO
