SAHAM,MARKET PRICE,,,
CLPI,1410,,IDX:,IDX:CLPI
CMNP,1335,,IDX:,IDX:CMNP
CMPP,70,,IDX:,IDX:CMPP
CNKO,36,,IDX:,IDX:CNKO
CNTX,0.58,,IDX:,IDX:CNTX
COWL,50,,IDX:,IDX:COWL
CPIN,3130,,IDX:,IDX:CPIN
CPRO,28.13,,IDX:,IDX:CPRO
CSAP,272,,IDX:,IDX:CSAP
CTBN,5275,,IDX:,IDX:CTBN
CTRA,0,,IDX:,IDX:CTRA
CTTH,0.08,,IDX:,IDX:CTTH
DART,117,,IDX:,IDX:DART
DEFI,67.76,,IDX:,IDX:DEFI
DEWA,308,,IDX:,IDX:DEWA
DGIK,115,,IDX:,IDX:DGIK
DILD,112,,IDX:,IDX:DILD
DKFT,635,,IDX:,IDX:DKFT
DLTA,0,,IDX:,IDX:DLTA
DMAS,136,,IDX:,IDX:DMAS
DNAR,112,,IDX:,IDX:DNAR
DNET,10300,,IDX:,IDX:DNET
DOID,202,,IDX:,IDX:DOID
DPNS,310,,IDX:,IDX:DPNS
DSFI,66,,IDX:,IDX:DSFI
DSNG,1130,,IDX:,IDX:DSNG
DSSA,820,,IDX:,IDX:DSSA
DUTI,4180,,IDX:,IDX:DUTI
DVLA,1600,,IDX:,IDX:DVLA
DYAN,75,,IDX:,IDX:DYAN
ECII,117,,IDX:,IDX:ECII
EKAD,168,,IDX:,IDX:EKAD
ELSA,2.12,,IDX:,IDX:ELSA
ELTY,22,,IDX:,IDX:ELTY
EMDE,67,,IDX:,IDX:EMDE
EMTK,510,,IDX:,IDX:EMTK
ENRG,0.31,,IDX:,IDX:ENRG
EPMT,2300,,IDX:,IDX:EPMT
ERAA,356,,IDX:,IDX:ERAA
ERTX,133,,IDX:,IDX:ERTX
ESSA,570,,IDX:,IDX:ESSA
ESTI,119,,IDX:,IDX:ESTI
ETWA,70,,IDX:,IDX:ETWA
EXCL,0,,IDX:,IDX:EXCL
FAST,47.1,,IDX:,IDX:FAST
FASW,5450,,IDX:,IDX:FASW
FISH,4.52,,IDX:,IDX:FISH
FMII,252,,IDX:,IDX:FMII
FORU,0,,IDX:,IDX:FORU
FPNI,346,,IDX:,IDX:FPNI
GAMA,0.09,,IDX:,IDX:GAMA
GDST,12.5,,IDX:,IDX:GDST
GDYR,1075,,IDX:,IDX:GDYR
GEMA,77,,IDX:,IDX:GEMA
GEMS,51.65,,IDX:,IDX:GEMS
GGRM,16250,,IDX:,IDX:GGRM
GIAA,52,,IDX:,IDX:GIAA
GJTL,1110,,IDX:,IDX:GJTL
GLOB,30.03,,IDX:,IDX:GLOB
GMTD,1300,,IDX:,IDX:GMTD
GOLD,41.92,,IDX:,IDX:GOLD
GOLL,50,,IDX:,IDX:GOLL
GPRA,99,,IDX:,IDX:GPRA
GSMF,80,,IDX:,IDX:GSMF
GTBO,170,,IDX:,IDX:GTBO
GWSA,117,,IDX:,IDX:GWSA
GZCO,138,,IDX:,IDX:GZCO
HADE,15,,IDX:,IDX:HADE
HDFA,22.4,,IDX:,IDX:HDFA
HERO,23.91,,IDX:,IDX:HERO
HEXA,4540,,IDX:,IDX:HEXA
HITS,#N/A,,IDX:,IDX:HITS
HMSP,660,,IDX:,IDX:HMSP
HOME,9.94,,IDX:,IDX:HOME
HOTL,50,,IDX:,IDX:HOTL
HRUM,745,,IDX:,IDX:HRUM
IATA,65,,IDX:,IDX:IATA
IBFN,68,,IDX:,IDX:IBFN
IBST,93.45,,IDX:,IDX:IBST
ICBP,6625,,IDX:,IDX:ICBP
ICON,0.91,,IDX:,IDX:ICON
IGAR,402,,IDX:,IDX:IGAR
IIKP,50,,IDX:,IDX:IIKP
IKAI,16,,IDX:,IDX:IKAI
IKBI,515,,IDX:,IDX:IKBI
IMAS,795,,IDX:,IDX:IMAS
IMJS,135,,IDX:,IDX:IMJS
IMPC,1375,,IDX:,IDX:IMPC
INAF,126,,IDX:,IDX:INAF
INAI,49.81,,IDX:,IDX:INAI
INCI,640,,IDX:,IDX:INCI
INCO,59.76,,IDX:,IDX:INCO
INDF,6625,,IDX:,IDX:INDF
INDR,0,,IDX:,IDX:INDR
INDS,40.92,,IDX:,IDX:INDS
INDX,59,,IDX:,IDX:INDX
INDY,43.72,,IDX:,IDX:INDY
INKP,7075,,IDX:,IDX:INKP
INPC,127,,IDX:,IDX:INPC
INPP,141.18,,IDX:,IDX:INPP
INRU,29.45,,IDX:,IDX:INRU
INTA,25.01,,IDX:,IDX:INTA
INTD,222,,IDX:,IDX:INTD
INTP,4140,,IDX:,IDX:INTP
IPOL,35.9,,IDX:,IDX:IPOL
ISAT,1735,,IDX:,IDX:ISAT
ISSP,384,,IDX:,IDX:ISSP
ITMA,1410,,IDX:,IDX:ITMA
ITMG,22000,,IDX:,IDX:ITMG
JAWA,114,,IDX:,IDX:JAWA
JECC,660,,IDX:,IDX:JECC
JIHD,424,,IDX:,IDX:JIHD
JKON,66,,IDX:,IDX:JKON
JPFA,1990,,IDX:,IDX:JPFA
JRPT,1075,,IDX:,IDX:JRPT
JSMR,2860,,IDX:,IDX:JSMR
JSPT,1240,,IDX:,IDX:JSPT
JTPE,590,,IDX:,IDX:JTPE
KAEF,448,,IDX:,IDX:KAEF
KARW,220,,IDX:,IDX:KARW
KBLI,326,,IDX:,IDX:KBLI
KBLM,280,,IDX:,IDX:KBLM
KBLV,84,,IDX:,IDX:KBLV
KBRI,50,,IDX:,IDX:KBRI
KDSI,438,,IDX:,IDX:KDSI
KIAS,21,,IDX:,IDX:KIAS
KICI,177,,IDX:,IDX:KICI
KIJA,115,,IDX:,IDX:KIJA
KKGI,258,,IDX:,IDX:KKGI
KLBF,780,,IDX:,IDX:KLBF
KOBX,139,,IDX:,IDX:KOBX
KOIN,80,,IDX:,IDX:KOIN
KONI,2810,,IDX:,IDX:KONI
KOPI,178,,IDX:,IDX:KOPI
KPIG,78,,IDX:,IDX:KPIG
KRAS,199,,IDX:,IDX:KRAS
KREN,11,,IDX:,IDX:KREN
LAPD,56,,IDX:,IDX:LAPD
LCGP,114,,IDX:,IDX:LCGP
LEAD,20.45,,IDX:,IDX:LEAD
LINK,4.01,,IDX:,IDX:LINK
LION,16.4,,IDX:,IDX:LION
LMAS,50,,IDX:,IDX:LMAS
LMPI,134,,IDX:,IDX:LMPI
LMSH,256,,IDX:,IDX:LMSH
LPCK,500,,IDX:,IDX:LPCK
LPGI,685,,IDX:,IDX:LPGI
LPIN,400,,IDX:,IDX:LPIN
LPKR,56,,IDX:,IDX:LPKR
LPLI,236,,IDX:,IDX:LPLI
LPPF,1505,,IDX:,IDX:LPPF
LPPS,67,,IDX:,IDX:LPPS
LRNA,177,,IDX:,IDX:LRNA
LSIP,1315,,IDX:,IDX:LSIP
LTLS,780,,IDX:,IDX:LTLS
MAGP,50,,IDX:,IDX:MAGP
MAIN,51.01,,IDX:,IDX:MAIN
MAPI,1515,,IDX:,IDX:MAPI
MAYA,187,,IDX:,IDX:MAYA
MBAP,10.39,,IDX:,IDX:MBAP
MBSS,2520,,IDX:,IDX:MBSS
MBTO,107,,IDX:,IDX:MBTO
MCOR,10.16,,IDX:,IDX:MCOR
MDIA,0.91,,IDX:,IDX:MDIA
MDKA,2640,,IDX:,IDX:MDKA
MDLN,38.87,,IDX:,IDX:MDLN
MDRN,28,,IDX:,IDX:MDRN
MEDC,1040,,IDX:,IDX:MEDC
MEGA,0.28,,IDX:,IDX:MEGA
MERK,3630,,IDX:,IDX:MERK
META,550.25,,IDX:,IDX:META
MFMI,1300,,IDX:,IDX:MFMI
MGNA,81,,IDX:,IDX:MGNA
MICE,492,,IDX:,IDX:MICE
MIDI,268,,IDX:,IDX:MIDI
MIKA,1705,,IDX:,IDX:MIKA
MIRA,1.01,,IDX:,IDX:MIRA
MITI,0.07,,IDX:,IDX:MITI
MKPI,20725,,IDX:,IDX:MKPI
MLBI,6400,,IDX:,IDX:MLBI
MLIA,242,,IDX:,IDX:MLIA
MLPL,79,,IDX:,IDX:MLPL
MLPT,18000,,IDX:,IDX:MLPT
MMLP,2.12,,IDX:,IDX:MMLP
MNCN,200,,IDX:,IDX:MNCN
MPMX,965,,IDX:,IDX:MPMX
MPPA,44,,IDX:,IDX:MPPA
MRAT,446,,IDX:,IDX:MRAT
MREI,965,,IDX:,IDX:MREI
MSKY,58,,IDX:,IDX:MSKY
MTDL,496,,IDX:,IDX:MTDL
MTFN,13,,IDX:,IDX:MTFN
MTLA,350.8,,IDX:,IDX:MTLA
MTSM,500,,IDX:,IDX:MTSM
MYOH,1025,,IDX:,IDX:MYOH
MYOR,1880,,IDX:,IDX:MYOR
MYTX,45,,IDX:,IDX:MYTX
NELY,199,,IDX:,IDX:NELY
NIKL,12.89,,IDX:,IDX:NIKL
NIRO,140,,IDX:,IDX:NIRO
NISP,1190,,IDX:,IDX:NISP
NOBU,430,,IDX:,IDX:NOBU
NRCA,414,,IDX:,IDX:NRCA
OCAP,159,,IDX:,IDX:OCAP
OKAS,100,,IDX:,IDX:OKAS
OMRE,1015,,IDX:,IDX:OMRE
PADI,64,,IDX:,IDX:PADI
PALM,139.9,,IDX:,IDX:PALM
PANR,13.36,,IDX:,IDX:PANR
PANS,1860,,IDX:,IDX:PANS
PBRX,27,,IDX:,IDX:PBRX
PDES,452,,IDX:,IDX:PDES
PEGE,106,,IDX:,IDX:PEGE
PGAS,1430,,IDX:,IDX:PGAS
PGLI,189,,IDX:,IDX:PGLI
PICO,#N/A,,IDX:,IDX:PICO
PJAA,454,,IDX:,IDX:PJAA
PKPK,2810,,IDX:,IDX:PKPK
PLAS,0.24,,IDX:,IDX:PLAS
PLIN,2510,,IDX:,IDX:PLIN
PNBN,900,,IDX:,IDX:PNBN
PNBS,50,,IDX:,IDX:PNBS
PNIN,730,,IDX:,IDX:PNIN
PNLF,224,,IDX:,IDX:PNLF
PSAB,410,,IDX:,IDX:PSAB
PSDN,105,,IDX:,IDX:PSDN
PSKT,177,,IDX:,IDX:PSKT
PTBA,2300,,IDX:,IDX:PTBA
PTIS,276,,IDX:,IDX:PTIS
PTPP,178,,IDX:,IDX:PTPP
PTRO,3790,,IDX:,IDX:PTRO
PTSN,224,,IDX:,IDX:PTSN
PTSP,850,,IDX:,IDX:PTSP
PUDP,270,,IDX:,IDX:PUDP
PWON,246,,IDX:,IDX:PWON
PYFA,181,,IDX:,IDX:PYFA
RAJA,3640,,IDX:,IDX:RAJA
RALS,364,,IDX:,IDX:RALS
RANC,510,,IDX:,IDX:RANC
RBMS,55,,IDX:,IDX:RBMS
RDTX,14475,,IDX:,IDX:RDTX
